Før Navn,Fornavn,Patronym,Tilnavn,Alder og størrelse,Overskrifter mm.,Skatteklasse,Tellingsområde,T_O_Normalisert,Enhet,Vog,pd,mrk,Vog,pd,mrk,Kirkesogn,Tingsted,Dato,Folio,Referanse,Link,URL,År
,Hans,Jensen,,,,Fullskatt/ Leidang,Ansnes,Andsnes,Ikke betalt,0,0,0,0,0,0,,Loppa,,1-3,RA/EA-4070/N/Nb/Nbd/L0077,1-3,https://media.digitalarkivet.no/view/119938/2,1694
,Oele,,Snedker,,,Fullskatt/ Leidang,Ansnes,Andsnes,Ikke betalt,0,0,0,0,0,0,,Loppa,,1-3,RA/EA-4070/N/Nb/Nbd/L0077,1-3,https://media.digitalarkivet.no/view/119938/2,1694
,Roeland,Joensen,,,,Fullskatt/ Leidang,Ansnes,Andsnes,Ikke betalt,0,0,0,0,0,0,,Loppa,,1-3,RA/EA-4070/N/Nb/Nbd/L0077,1-3,https://media.digitalarkivet.no/view/119938/2,1694
,Daniel,Christoffersen,,,,Fullskatt/ Leidang,Yter Wehr,Yttervær,Ikke betalt,0,0,0,0,0,0,,Loppa,,1-3,RA/EA-4070/N/Nb/Nbd/L0077,1-3,https://media.digitalarkivet.no/view/119938/2,1694
,Arne,Iversen,,,,Fullskatt/ Leidang,Yter Wehr,Yttervær,Ikke betalt,0,0,0,0,0,0,,Loppa,,1-3,RA/EA-4070/N/Nb/Nbd/L0077,1-3,https://media.digitalarkivet.no/view/119938/2,1694
,Povel,Nielsen,,,,Fullskatt/ Leidang,Yter Wehr,Yttervær,Ikke betalt,0,0,0,0,0,0,,Loppa,,1-3,RA/EA-4070/N/Nb/Nbd/L0077,1-3,https://media.digitalarkivet.no/view/119938/2,1694
,Niels,Pedersen,,,,Fullskatt/ Leidang,Yter Wehr,Yttervær,Ikke betalt,0,0,0,0,0,0,,Loppa,,1-3,RA/EA-4070/N/Nb/Nbd/L0077,1-3,https://media.digitalarkivet.no/view/119938/2,1694
hr,Torben,Reersen,,,,Prest,Loppøen,Loppa,Ikke betalt,0,0,0,0,0,0,,Loppa,,1-3,RA/EA-4070/N/Nb/Nbd/L0077,1-3,https://media.digitalarkivet.no/view/119938/2,1694
,Søfren,Pederssen,,,,Underfogd,Loppøen,Loppa,Ikke betalt,0,0,0,0,0,0,,Loppa,,1-3,RA/EA-4070/N/Nb/Nbd/L0077,1-3,https://media.digitalarkivet.no/view/119938/2,1694
,Peder,Simoenssen,,,,Skyssskaffer,Loppøen,Loppa,Ikke betalt,0,0,0,0,0,0,,Loppa,,1-3,RA/EA-4070/N/Nb/Nbd/L0077,1-3,https://media.digitalarkivet.no/view/119938/2,1694
,Bendix,,Nebel,,,Trafikerende tjener,Loppøen,Loppa,Ikke betalt,0,0,0,0,0,0,,Loppa,,1-3,RA/EA-4070/N/Nb/Nbd/L0077,1-3,https://media.digitalarkivet.no/view/119938/2,1694
,Hans,Oelsen,,,,Fullskatt/ Leidang,Loppøen,Loppa,Ikke betalt,0,0,0,0,0,0,,Loppa,,1-3,RA/EA-4070/N/Nb/Nbd/L0077,1-3,https://media.digitalarkivet.no/view/119938/2,1694
,Søvren,Pedersen,,,,Fullskatt/ Leidang,Loppøen,Loppa,Ikke betalt,0,0,0,0,0,0,,Loppa,,1-3,RA/EA-4070/N/Nb/Nbd/L0077,1-3,https://media.digitalarkivet.no/view/119938/2,1694
,Abraham,Samuelsen,,,,Fullskatt/ Leidang,Frackfiord,Frakkfjord,Ikke betalt,0,0,0,0,0,0,,Loppa,,1-3,RA/EA-4070/N/Nb/Nbd/L0077,1-3,https://media.digitalarkivet.no/view/119938/2,1694
,Anders,Oelsen,,,,Fullskatt/ Leidang,Frackfiord,Frakkfjord,Ikke betalt,0,0,0,0,0,0,,Loppa,,1-3,RA/EA-4070/N/Nb/Nbd/L0077,1-3,https://media.digitalarkivet.no/view/119938/2,1694
,Samuel,Samuelsen,,,,Fullskatt/ Leidang,Frackfiord,Frakkfjord,Ikke betalt,0,0,0,0,0,0,,Loppa,,1-3,RA/EA-4070/N/Nb/Nbd/L0077,1-3,https://media.digitalarkivet.no/view/119938/2,1694
,Lasse,Joesephsen,,,,Fullskatt/ Leidang,Frackfiord,Frakkfjord,Ikke betalt,0,0,0,0,0,0,,Loppa,,1-3,RA/EA-4070/N/Nb/Nbd/L0077,1-3,https://media.digitalarkivet.no/view/119938/2,1694
,Even,Pedersen,,,,Fullskatt/ Leidang,Hettekiel,Hettekjel,Ikke betalt,0,0,0,0,0,0,,Loppa,,1-3,RA/EA-4070/N/Nb/Nbd/L0077,1-3,https://media.digitalarkivet.no/view/119938/3,1694
