Original;Normalized
Alten;Til Alttávuonna
Fra Aritsby;Fra Ohcejohka
Fra Bonøy;Fra Gierbá
Fra fjellgrensen;Fra Svensk_lappmark
Fra Juxby;Fra Dálvadas
Fra Kautokeino;Fra Guovdageaidnu
Fra Lebesby;Fra Davvesiida
Fra Lebesbye;Fra Davvesiida
Fra Øvre Tana;Fra Siskkit_Deanu
Fra Porsanger;Fra Porsáŋgguvuotna
Fra Tana;Fra Juovlavuotna
Fra Veines;Fra Sáltesávju
Fra Ytre Porsanger;Fra Olggut_Porsáŋgguvuotna
Rømt;Til Ukjent
Til Adevehr;Til Ávjovárri
Til Adver;Til Ávjovárri
Til Alta;Til Alta_Tingsted
Til Aritsby;Til Ohcejohka
Til Arritsby;Til Ohcejohka
Til Bergen;Til Bergen
Til Bonøy;Til Gierbá
Til Enotek;Til Eanodat
Til Hammerfest;Til Hammerfest
Til Hasvåg;Til Hasvåg
Til Indre Porsanger;Til Siskkit_Porsáŋgguvuotna
Til Jukkasjervi;Til Čohkkiras
Til Juxby;Til Dálvadas
Til Kautokeino;Til Guovdageaidnu
Til Klubben og Kvalsund;Til Klubbu_Ráhkkerávju
Til Korsnes;Til Girenjárga
Til Kvenland;Til Finland
Til Laksefjord;Til Lágesvuotna
Til Lappmarken;Til Svensk_lappmark
Til Lebesby;Til Davvesiida
Til Malmis;Til Murmansk
Til Nordland;Til Nordland
Til Omgang;Til Omgang
Til Pasvik;Til Paaččjokk
Til Peisen;Til Peäccam
Til Porsanger;Til Porsáŋgguvuotna
Til Skjervøy;Til Skjervøy
Til Sverige;Til Sverige
Til Tana;Til Juovlavuotna
Til Ukjent;Til Ukjent
Til Utsjok;Til Ohcejohka
Til Varanger;Til Várjavuonna
Til Veines;Til Sáltesávju
Til Ytre Porsanger;Til Olggut_Porsáŋgguvuotna
Veranger;Til Várjavuonna
