Original;Normalized
Aaamundsen;Åmundsen
Aagesen;Ågesen
Aamund;Åmundsen
Aamunds:;Åmundsen
Aamundsen;Åmundsen
aamundsen;Åmundsen
Aamundssen;Åmundsen
Aamunsen;Åmundsen
Abbelsen;Abelsen
Abelsen;Abelsen
Abrahamsen;Abrahamsen
Acelsen;Akepeisen
Achelsen;Akepeisen
Achepeifsen;Akepeisen
Achepeisen;Akepeisen
Achepeissen;Akepeisen
Achesen;Akepeisen
Achessen;Akepeisen
Adriansen;Adriansen
Afgutsen;Afgutsen
Airldsen;Arilsen
Airugssen;Ariusen
Akepeisen;Akepeisen
Akepeissen;Akepeisen
Albretsen;Albriktsen
Ambsen;Ombsen
Ammots:;Ammotsen
Ammotsen;Ammotsen
Ammotssen;Ammotsen
Amnotssen;Ammotsen
Amodsen;Ammotsen
Amodssen;Ammotsen
Amodtzen;Ammotsen
Amots:;Ammotsen
Amøts:;Ammotsen
Amotsen;Ammotsen
Amotssen;Ammotsen
Amotzen;Ammotsen
amotzen;Ammotsen
Amundsen;Amundsen
Anchepeisen;Akepeisen
Anders:;Andersen
Andersdaater;Andersdatter
Andersdatter;Andersdatter
Anderseen;Andersen
Andersen;Andersen
andersen;Andersen
Anderss;Andersen
Anderssen;Andersen
Andesen;Andersen
Andfindsen;Andfindsen
Andindssen;Andfindsen
Andoersen;Andorsen
Andrsen;Andersen
Andserssen;Andersen
Anfindsen;Andfindsen
Anfindssen;Andfindsen
Anmotssen;Annotsen
Annodtsen;Annotsen
Annotsen;Annotsen
annotsen;Annotsen
Annotzen;Annotsen
Anthonisen;Antonisen
Arentzen;Arentsen
Arilsen;Arilsen
Ariugssen;Ariusen
Ariusen;Ariusen
Arnesen;Arnesen
Arnessen;Arnesen
Asbiørnsen;Asbjørnsen
Asbiørsen;Asbjørnsen
Asbjørnsen;Asbjørnsen
Aschepeisen;Akepeisen
Asgouts:;Asgutsen
Asgutsen;Asgutsen
Asgutssen;Asgutsen
Aslachsen;Aslaksen
Aslachssen;Aslaksen
Aslacksen;Aslaksen
Aslagsen;Aslaksen
Aslaksen;Aslaksen
Axels:;Akselsen
Axelsen;Akselsen
Axelssen;Akselsen
Axselsen;Akselsen
Baardsen;Bårdsen
Baaresen;Bårdsen
Baattelsen;Bottelsen
Baltelsen;Baltesen
Bastiansen;Bastiansen
Bedixsen;Bendixsen
Bendixen;Bendixsen
Bendixsen;Bendixsen
Bendixssen;Bendixsen
Bendizsen;Bendixsen
Benixsen;Bendixsen
Berentsen;Berntsen
Berentzen;Berntsen
Berittzen;Beritsen
Beritzen;Beritsen
Berntsen;Berntsen
Berrendtsen;Berntsen
Bertelsen;Bertilsen
Bettelsen;Bertilsen
Biermundsen;Giermundsen
Biørnesen;Bjørnesen
Biornsen;Bjørnsen
Biørnsen;Bjørnsen
Biørnssen;Bjørnsen
Biritssen;Beritsen
Biritzen;Beritsen
Birritsen;Beritsen
Børesen;Børresen
Børresen;Børresen
Bottelsen;Bottelsen
Brandsen;Brandsen
Carelsen;Karlsen
Carelssen;Karlsen
Carlsen;Karlsen
Chirstophersen;Kristoffersen
Chrestensen;Kristensen
Christensen;Kristensen
Christenssen;Kristensen
Christofersen;Kristoffersen
Christoffers:;Kristoffersen
Christoffersen;Kristoffersen
Christohersen;Kristoffersen
Christophers:;Kristoffersen
Christophersen;Kristoffersen
Christopherssen;Kristoffersen
Christophsen;Kristoffersen
Chrstofersen;Kristoffersen
Chrtophersen;Kristoffersen
Clasdatter;Klausdatter
Clausen;Klausen
Claussen;Klausen
Clemeds;Klemmetsen
Clemedsen;Klemmetsen
Clemedssen;Klemmetsen
Clemedtsen;Klemmetsen
Clemelsen;Klemmetsen
Clemendssen;Klemmetsen
Clemensen;Klemmetsen
Clementssen;Klemmetsen
Clemets:;Klemmetsen
Clemetsen;Klemmetsen
Clemmedsen;Klemmetsen
Clemmedssen;Klemmetsen
Clemmedtsen;Klemmetsen
Clemmendsen;Klemmetsen
Clemmensen;Klemmetsen
Clemmetsen;Klemmetsen
Clemmitsen;Klemmetsen
Colbeensen;Kolbensen
Colbensen;Kolbensen
Colbiørnsen;Kolbjørnsen
Colbjørnsen;Kolbjørnsen
Corneliusen;Korneliusen
Cornelsen;Korneliusen
Cristensen;Kristensen
Danielsen;Danielsen
Danielssen;Danielsen
Davidsen;Davidsen
Davidssen;Davidsen
Davidtsen;Davidsen
Demedzen;Dimitrysen
Demesen;Dimitrysen
Demetzen;Dimitrysen
Demitzen;Dimitrysen
Difversen;Siversen
Dirichsen;Didriksen
Diriksen;Didriksen
Echerimsen;Ekerimsen
Echremsen;Ekerimsen
Ediesen;Ediesen
Edisen;Ediesen
Edissen;Ediesen
Eerichsen;Eriksen
Eericksen;Eriksen
Eeriksen;Eriksen
Egebretzen;Engebretsen
Eileffsen;Ellefsen
Eilefsen;Ellefsen
Eilertsen;Eilertsen
Eiluffsen;Ellefsen
Eiluffssen;Ellefsen
Eilufsen;Ellefsen
Eindersen;Einersen
Einersen;Einersen
Einerssen;Einersen
Einiersen;Einersen
Eirichsen;Eriksen
Elausen;Elausen
Elchorsen;Melkorsen
Elingsen;Ellingsen
Ellefsen;Ellefsen
Ellingsen;Ellingsen
Ellufsen;Ellefsen
Elufsen;Ellefsen
Endersen;Endresen
Endresen;Endresen
Engebretsen;Engebretsen
Engebretzen;Engebretsen
Engelbretsen;Engebretsen
Engelbrettsen;Engebretsen
Engelbretzen;Engebretsen
Engolsen;Engolsen
Engroldsen;Engolsen
Enoksen;Enoksen
Envoldsen;Envoldsen
Ephildssen;Efilsen
Erchsen;Eriksen
Ereksen;Eriksen
Erichsen;Eriksen
Erichssen;Eriksen
Ericksen;Eriksen
Eriksen;Eriksen
Erlands:;Erlandsen
Erlandsen;Erlandsen
Erlandssen;Erlandsen
Erlandtzen;Erlandsen
Erlendsen;Erlandsen
Esbensen;Espensen
Eschildsen;Eskildsen
Eschldsen;Eskildsen
Eshildsen;Eskildsen
Eskelsen;Eskildsen
Eskesen;Eskildsen
Eskessen;Eskildsen
Eskildse;Eskildsen
Eskildsen;Eskildsen
Eskildssen;Eskildsen
Eskilsen;Eskildsen
Espensen;Espensen
Evegsen;Evensen
Evendsen;Evensen
Evensen;Evensen
Evertsen;Evertsen
Evesen;Evensen
Faliesen;Falliesen
Falirsen;Falliesen
falirssen;Falliesen
Fallersen;Falliesen
Fallesen;Falliesen
Falliersen;Falliesen
Falliesen;Falliesen
falliesen;Falliesen
Falliessen;Falliesen
Fallirsen;Falliesen
Fastesen;Fastesen
Fattersen;Fjodorsen
Fettersen;Fjodorsen
Follesen;Falliesen
Folliesen;Falliesen
Folliessen;Falliesen
Folliesssen;Falliesen
Foltsen;Foltsen
Frandsen;Fransen
Frandzen;Fransen
Frantzen;Fransen
Gabriel;Gabrielsen
Gabrielsen;Gabrielsen
Gabrielssen;Gabrielsen
Gallingsen;Gallingsen
Gerielsen;Gjerildsen
Germundsen;Gjermundsen
Giereldsen;Gjerildsen
Gierilds:;Gjerildsen
Gierildsen;Gjerildsen
gierildsen;Gjerildsen
Gierildssen;Gjerildsen
Gierilsen;Gjerildsen
Gierlsen;Gjerildsen
Giermensen;Gjermundsen
Giermenssen;Gjermundsen
Giermunds:;Gjermundsen
Giermundse;Gjermundsen
Giermundsen;Gjermundsen
Giermundss:;Gjermundsen
Giermundssen;Gjermundsen
Giermunsen;Gjermundsen
Giermvndsdaatter;Gjermundsdatter
Gierrildsen;Gjerildsen
Gilbretsen;Gilbretsen
Gilbretzen;Gilbretsen
Gregersen;Gregersen
Gregorisen;Gregersen
Gremesen;Grimsen
Gremmensen;Grimsen
Grermundssen;Gjermundsen
Grimmersen;Grimsen
Grimmesen;Grimsen
Gulbiørnsen;Gullbjørnsen
Gulbrandsen;Guldbrandsen
Gulbrandssen;Guldbrandsen
Gulbransen;Guldbrandsen
Guldbiørnsen;Gullbjørnsen
Guldbransen;Guldbrandsen
Gunders:;Gundersen
Gundersen;Gundersen
Gundersøn;Gundersen
Gunderssen;Gundersen
Gundesen;Gundersen
Gundresen;Gundersen
Gundrsen;Gundersen
Gutoimsen;Guttormsen
Gutormsen;Guttormsen
Gutormssen;Guttormsen
Guttorms:;Guttormsen
Guttormsen;Guttormsen
Guttormssen;Guttormsen
Haagensdaatter;Hågensdatter
Haagensen;Hågensen
Haagensens;Hågensen
Haanssen;Hansen
Hafvorsen;Halvorsen
Halfuarsen;Halvorsen
Halfuorsen;Halvorsen
Halfvorsen;Halvorsen
Hallisen;Hellesen
Halsteensen;Halstensen
Halvarsen;Halvorsen
Halversen;Halvorsen
Halvorsen;Halvorsen
Halvorssen;Halvorsen
Hamsen;Hansen
HAnsen;Hansen
Hansen;Hansen
Hanssen;Hansen
Haraldsen;Haraldsen
Haraldssen;Haraldsen
Hareldsen;Haraldsen
Harildsen;Haraldsen
Harlsen;Haraldsen
Harmenssen;Hermansen
Harralds:;Haraldsen
Harraldsen;Haraldsen
Hassen;Hansen
Havorsen;Halvorsen
Heidrichsen;Henriksen
Heindrichsen;Henriksen
Helgesen;Helgesen
Heliesen;Hellesen
Hellessen;Hellesen
Helliesen;Hellesen
Hemingsen;Hemmingsen
Hemmingsen;Hemmingsen
Hemningsen;Hemmingsen
Hendrechsen;Henriksen
Hendrehsen;Henriksen
Hendrichsen;Henriksen
Hendriechsen;Henriksen
Hendriksen;Henriksen
Henichssen;Henriksen
Henningsen;Henriksen
Henreksen;Henriksen
Henrichs:;Henriksen
Henrichsdatter;Henriksdatter
Henrichsen;Henriksen
Henrichssen;Henriksen
henrichssen;Henriksen
Henricks:;Henriksen
Henricksen;Henriksen
Henrikesen;Henriksen
Henriksen;Henriksen
Hentichsen;Henriksen
Hermandsen;Hermansen
hermandsen;Hermansen
Hermansen;Hermansen
Hindrichsen;Henriksen
Hindzesen;Hintesen
Hinreksen;Henriksen
Hintesen;Hintesen
Hintzessen;Hintesen
Hofvorsen;Halvorsen
Hovarsen;Halvorsen
Hoversen;Halvorsen
Hovorsen;Halvorsen
Iensen;Jensen
Iephrimssen;Jefimsen
Ieversen;Iversen
Ifuersen;Iversen
Ijfuerssen;Iversen
Isachsen;Isaksen
Iversen;Iversen
Iverssen;Iversen
Jacebsen;Jakobsen
Jacob:;Jakobsen
Jacobsen;Jakobsen
jacobsen;Jakobsen
Jacobsern;Jakobsen
Jacobssen;Jakobsen
Jahnsen;Jonsen
Jansen;Jonsen
Janssen;Jonsen
Jchumsen;Joakimsen
Jefrimsen;Jefimsen
Jefrisen;Jefimsen
Jensen;Jensen
Jenssen;Jensen
Jentichsen;Henriksen
Jepfrinsen;Jefimsen
Jephrimsen;Jefimsen
Jephrisen;Jefimsen
jephrisen;Jefimsen
Jereldsen;Jeruldsen
Jeruldsen;Jeruldsen
Jeversen;Iversen
Jfersen;Iversen
Jffuersen;Iversen
Jffuerssen;Iversen
Jfirsen;Iversen
Jfnersen;Iversen
Jfoersen;Iversen
Jforsen;Iversen
Jfrersen;Iversen
Jfrs:;Iversen
Jfrsen;Iversen
Jfrssen;Iversen
Jfuersen;Iversen
Jfuerssen;Iversen
Jfversen;Iversen
Jfzrsenn;Iversen
Jittersen;Zittersen
Jochemsen;Joakimsen
Jochimsen;Joakimsen
Jochumsen;Joakimsen
Jockumsen;Joakimsen
Jocumsen;Joakimsen
Joensen;Jonsen
joensen;Jonsen
Joenssen;Jonsen
Joensssen;Jonsen
Joesephsen;Josefsen
Jognsen;Jonsen
Johanesen;Johannesen
Johannessen;Johannesen
Johansen;Johansen
Johanssen;Johansen
Johnsen;Jonsen
johnsen;Jonsen
Jokumsen;Joakimsen
Jonsen;Jonsen
Jonssen;Jonsen
Jørgensen;Jørgensen
Jørgenssen;Jørgensen
Jorildsen;Gjerildsen
Jorresen;Jorresen
Jøruldsen;Gjerildsen
Josaphsen;Josefsen
Josephsen;Josefsen
Josepsen;Josefsen
Joxen;Juxsen
Jsacksen;Isaksen
Jsakesen;Isaksen
Jsaksen;Isaksen
Jsraelsen;Israelsen
Juerildsen;Gjerildsen
Juntesen;Juntesen
Juntessen;Juntesen
Juntsen;Juntesen
Junttesen;Juntesen
Juresen;Gjerildsen
Jurilds:;Juriysen
Jurildsen;Juriysen
Juritssen;Juriysen
Juritzen;Juriysen
Juxen;Juxsen
Juxsen;Juxsen
Juxssen;Juxsen
Jver;Iversen
Jversen;Iversen
Jverssen;Iversen
Kaaresen;Kåresen
Kacob:;Jakobsen
Karresen;Kåresen
Khristensen;Kristensen
Kieresen;Kjærsen
Kierissen;Kjærsen
Kierresen;Kjærsen
Kiersen;Kjærsen
Klemmetsen;Klemmetsen
Klemmmisen;Klemmetsen
KNudsen;Knudsen
Knudsen;Knudsen
Knudssen;Knudsen
Knudtsen;Knudsen
Larridtzen;Larsen
LArsen;Larsen
Larsen;Larsen
larsen;Larsen
Larssen;Larsen
Lassesen;Larsen
Lasss;Larsen
Lauretz;Larsen
Lauridsen;Larsen
Lauridssen;Larsen
Lauridtzen;Larsen
Lauridzen;Larsen
Lauritdtzen;Larsen
Lauritssen;Larsen
Laurittzen;Larsen
Lauritzen;Larsen
Lauritzten;Larsen
Lavorsen;Halvorsen
Lavritzen;Larsen
Lemmedsen;Klemmetsen
Lucasen;Lukasen
Luckasen;Lukasen
Luritzen;Larsen
luritzen;Lauritsen
Madsen;Matsen
Madtzen;Matsen
Madzen;Matsen
Magnesen;Magnesen
Magnussen;Magnusen
Maissen;Maisen
Majsen;Maisen
Marttens:;Mortensen
MAthiasen;Mathiasen
Mathiasen;Mathiasen
mathiasen;Mathiasen
Mathiassen;Mathiasen
Mathiesen;Mathiasen
mathiesen;Mathiasen
Mathiess:;Mathiasen
Mathiessen;Mathiasen
Mathisen;Mathiasen
Matiasen;Mathiasen
Matiesen;Mathiasen
Matiessen;Mathiasen
Matisen;Mathiasen
Matthiasen;Mathiasen
Matthiesen;Mathiasen
matthiesen;Mathiasen
Matthisen;Mathiasen
Mattiessen;Mathiasen
Mattisen;Mathiasen
Mattisesen;Mathiasen
Matzen;Matsen
Mauritzen;Mouritsen
Mehelsen;Mikkelsen
Melchersen;Melkorsen
Melchors:;Melkorsen
Melchorsen;Melkorsen
Melchorssen;Melkorsen
Melckiorsen;Melkorsen
Melckorsen;Melkorsen
Melechersen;Melkorsen
Meletzen;Melletsen
Melkersen;Melkorsen
Melkorsen;Melkorsen
Melletssen;Melletsen
Meniesen;Minnesen
Mennesen;Minnesen
Mhatthiesen;Mathiasen
Mhortensen;Mortensen
Micheldsen;Mikkelsen
Michels:;Mikkelsen
Michelsen;Mikkelsen
Michelssen;Mikkelsen
Mickelsen;Mikkelsen
Micnnesen;Minnesen
Miekelsen;Mikkelsen
Mikelsen;Mikkelsen
Mikelssen;Mikkelsen
Mikkelsen;Mikkelsen
Mimessen;Minnesen
Minesen;Minnesen
Minnesen;Minnesen
Minnessen;Minnesen
MMinnesen;Minnesen
Moegensen;Mogensen
Moensen;Mogensen
Mogennsen;Mogensen
Mogens:;Mogensen
Mogensen;Mogensen
Mogenssen;Mogensen
Moirtzhen;Mouritsen
Mokrisen;Makarsen
Monsen;Mogensen
Monssen;Mogensen
Mordtenss:;Mortensen
Moridztn;Mouritsen
Moritzen;Mouritsen
Moritzten;Mouritsen
Mortens:;Mortensen
Mortensen;Mortensen
mortensen;Mortensen
Mortensense;Mortensen
Mortenss:;Mortensen
Mortenssen;Mortensen
Mortetenssen;Mortensen
Morttenes:;Mortensen
Morttens:;Mortensen
Morttensen;Mortensen
Morttenss:;Mortensen
Morttenssen;Mortensen
Mossesen;Mosessen
Mothiessen;Mathiasen
Mottenssen;Mathiasen
Mourichen;Mouritsen
Mouritzen;Mouritsen
Mouritzsen;Mouritsen
N:;N.
N.;N.
n.;N.
Nafensen;Steffensen
Nafildsen;Vasilysen
Namblichsen;Namliksen
Namlichsen;Namliksen
Namliksen;Namliksen
Namtlichsen;Namliksen
Natsøn;Natsen
Neilsen;Nilsen
Nelsen;Nilsen
nelsen;Nilsen
Nichesen;Nikkesen
Nichessen;Nikkesen
Nickesen;Nikkesen
Nicksen;Nikkesen
Niellsen;Nilsen
Niels;Nilsen
Niels Tøresen;Tørresen
Niels:;Nilsen
Nielsdaatter;Nilsdatter
Nielsdatter;Nilsdatter
NIelsen;Nilsen
Nielsen;Nilsen
Nielss;Nilsen
Nielssen;Nilsen
Nikesen;Nikkesen
Nils;Nilsen
NIlsen;Nilsen
Nilsen;Nilsen
Nilssen;Nilsen
Niolssen;Nilsen
Nixen;Nikkesen
Noensen;Jonsen
Nomblichsen;Namliksen
Oedersen;Pedersen
Oele;Pedersen
Oelesen;Olsen
Oels:;Olsen
Oelsen;Olsen
oelsen;Olsen
Oelssen;Olsen
Oesesen;Olsen
Offesen;Ovesen
Offessen;Ovesen
Offvesen;Ovesen
Ofvesen;Ovesen
Olles:;Olsen
Ollesen;Olsen
Ollessen;Olsen
Ollufsen;Olsen
Ollufssen;Olsen
Ollugsen;Olsen
Olsen;Olsen
Olssen;Olsen
Ombsen;Onsen
Ombssen;Onsen
Onfesen;Onsen
Onsen;Onsen
Onsesen;Onsen
Onssen;Onsen
Onssesen;Onsen
Ormsen;Ormsen
Østensen;Øysteinsen
Ottersen;Ottarsen
Ottesen;Ottesen
Ovesen;Ovesen
Paouelsen;Paulsen
Pauehlsen;Paulsen
Pauelsen;Paulsen
Paulsen;Paulsen
Pavelsen;Paulsen
Peders;Pedersen
Peders:;Pedersen
Pedersen;Pedersen
pedersen;Pedersen
Pederss;Pedersen
Pederssatter;Pedersdatter
Pederssen;Pedersen
Pedesen;Pedersen
Pedresen;Pedersen
Pedrhersen;Pedersen
Pedrs:;Pedersen
Pedrsen;Pedersen
pedrsen;Pedersen
Persem;Pedersen
Persen;Pedersen
persen;Pedersen
Peters:;Pedersen
Petersen;Pedersen
Petrsen;Pedersen
Pettersen;Pedersen
Petterssen;Pedersen
Phedersen;Pedersen
Phedettersen;Pedersen
Phettersen;Pedersen
Pidersen;Pedersen
Poelsen;Paulsen
Pouelsen;Paulsen
Pouelssen;Paulsen
