Original;Normalized
´;
A. P. Søn;Anders Pedersens Sønn
af inggen;Fra Ingøy
Alen suenske;Svenske
And. p. Søn;Anders Pedersens Sønn
Andersbye;Fra Andersby
Archeliemester m/ Soldater;Arkeliemester med Soldater
aresbyd;Fra Ohcejohka
Aresbye;Fra Ohcejohka
aresbye;Fra Ohcejohka
Aresbye find;Fra Ohcejohka
Arilsbye;Fra Ohcejohka
Aritsby;Fra Ohcejohka
Aritzby;Fra Ohcejohka
Aritzbye;Fra Ohcejohka
Arrdzby;Fra Ohcejohka
Arresby;Fra Ohcejohka
Arresbye;Fra Ohcejohka
Arritzbye;Fra Ohcejohka
Arsbye;Fra Ohcejohka
Bacher;Baker
Bang;Bang
Beshyt;Beskyt
Beskyle;Beskyt
Beskylt;Beskyt
Beskyt;Beskyt
Beskytt;Beskyt
Bestyt;Beskyt
Biørne Mands bror;Bjørnemanns bror
Biørnemand;Bjørnemann
Birgets søn;Birgets sønn
Bjørnemand;Bjørnemann
Bjørnemandz broder;Bjørnemanns bror
Blaas;Blås
Bøgvad;Bøgvad
Bolt;Bolt
Bondøe;Fra Gierbá
bondøe;Fra Gierbá
Borkmand;Brokkmann
Brachen;Braker
bracher;Braker
Bracher;Braker
Brake;Braker
Braker;Braker
braker;Braker
Brems;Brems
Brochman;Brokkmann
Brochmans;Brokkmann
Brockmand;Brokkmann
Bugø;Fra Bugøya
Bugøe;Fra Bugøya
Bule;Bule
Bygvad;Bøgvad
Cachstarius;Skyssskaffer
dal;Dal
Dal;Dal
den unge;Unge
død;Død
Doordie kielsis broder;Dorte Kielsis bror
Doordis Søn;Dortes sønn
Dordj;Dortes sønn
Dordj søn;Dortes sønn
dorete sin søn;Dortes sønn
Doretis søn;Dortes sønn
Dortes Søn;Dortes sønn
Dortes søn;Dortes sønn
Dortessøn;Dortes sønn
Egeskal;Fra Bossugohppi
Eggeschal;Fra Bossugohppi
Eggeskal;Fra Bossugohppi
Enetechces;Fra Eanodat
Eneteches;Fra Eanodat
Enetek;Fra Eanodat
Eneteken;Fra Eanodat
Enetekes;Fra Eanodat
Enkesøn;Enkesønn
Ennetek;Fra Eanodat
Ennetheches;Fra Eanodat
F: Find;Fjellfinn
faag;Fåg
Faag kjøpmann f/ Henrich Jansen;Fåg
Fagervig;Fra Store_Fagervika
Fagervik;Fra Store_Fagervika
Falde;Falde
falde;Falde
Field find;Fjellfinn
Field Find;Fjellfinn
Fieldfin;Fjellfinn
fieldfind;Fjellfinn
Fieldfinne;Fjellfinn
Find;Finn
find;Finn
find skytzskafer;Finn
Fladøe;Fra Lille_Latøya
Fog;Fåg
fog;Fåg
Folde;Folde
Forige Lænsmand;Forrige Lensmann
Forrige lensmann;Forrige Lensmann
fra Alten;Fra Alta_Tingsted
Fra Andersbye;Fra Andersby
Fra Aresbye;Fra Ohcejohka
fra aresbye;Fra Ohcejohka
Fra aresbye;Fra Ohcejohka
Fra bondøe;Fra Gierbá
Fra Bugøe;Fra Bugøya
Fra eidet;Fra Eidvågen
fra Eidet;Fra Eidvågen
Fra Ekerøe;Fra Ekkerøya
Fra Ennetek;Fra Eanodat
Fra Enotock;Fra Eanodat
Fra Finnevig;Fra Finnvika
Fra fladøe;Fra Lille_Latøya
Fra Gåsnes;Fra Gåsnes
fra Haab;Fra Hop
Fra Hammergest;Fra Hammerfest
Fra Hasvog;Fra Hasvåg
Fra Havesund;Fra Havøysund
Fra havneberg;Fra Hamningberg
Fra hellefiord;Fra Hellefjord
Fra Hellefiord;Fra Hellefjord
fra Ingen;Fra Ingøy
Fra Juxby;Fra Dálvadas
Fra kammerfjorden;Fra Kammerfjorden
Fra Karigiel;Fra Kariel
Fra Langfiord;Fra Langfjordnes
Fra laxefiord;Fra Lágesvuotna
fra Laxefiord;Fra Lágesvuotna
fra Lopen;Fra Loppa
Fra Matkurf;Fra Makkaur
Fra peisen;Fra Peäccam
Fra qualsund;Fra Klubbu_Ráhkkerávju
fra Qualsund;Fra Klubbu_Ráhkkerávju
Fra Raskjeld;Fra Ytter-Rasskeila
Fra Refsbotten;Fra Fra Refsbotn
Fra Rolsøen;Fra Gunnarnes
Fra Sandskier;Fra Sandskjær
Fra Skalnes;Fra Skallnes
Fra Skarsvog;Fra Skarsvåg
Fra skierføen;Fra Skjervøy
fra sletnes;Fra Slettnes
Fra Sletnes;Fra Slettnes
Fra Stapen;Fra Bukstappen
Fra Tannen;Fra Juovlavuotna
fra Tufiord;Fra Tufjord
fra Tybye;Fra Kiby
Fra Wanefiord;Fra Gammelvær_Magerøya
fra wasøe;Fra Vadsø
Fra Wassøe;Fra Vadsø
fra Wigen;Fra Gammelvika
Fraa Kautscen;Fra Guovdageaidnu
G: S:;G: S:
Gamle fra Grundenæs;Fra Grunnes
Gamle Pers sønn;Pers Sønn
Gammel;Gamle
gammel;Gamle
gl;Gamle
gl Fra Grundnes;Fra Grunnes
gl:;Gamle
GL:;Gamle
gl: b: h: s:;Gamle B. H. Sønn
gl: Niels Jonsens søn;Gamle Nils Jonsens sønn
gl: Olle mogensens søn;Gamle Ole Mogensens sønn
gl: P: J: Søn;Gamle P. J. Sønn
gl: P: Jl: C:;Gamle P. J. Sønn
Gl: P: P: s:;Gamle P. P. Sønn
gl: Peder Henrichsens søn;Gamle Peder Henriksens sønn
gl: Peder Nielsems søn;Gamle Peder Nilsens sønn
gl: Per Henrichsens søn;Gamle Peder Henriksens sønn
gl: Per Nielsens søn;Gamle Peder Nilsens sønn
gl: Per. h: s:;Gamle Peder Henriksens sønn
gl:P:h:s:;Gamle Peder Henriksens sønn
gl.;Gamle
gl. p. h søn;Gamle Peder Henriksens sønn
gl. p. h. søn;Gamle Peder Henriksens sønn
gl. P. H. Søn;Gamle Peder Henriksens sønn
gl. P. H. søn;Gamle Peder Henriksens sønn
gl. P. h. søn;Gamle Peder Henriksens sønn
gl. Ped: hinhsens søn;Gamle Peder Henriksens sønn
gl. Peder h: Søn;Gamle Peder Henriksens sønn
Grundenes;Fra Grunnes
Grundnæs;Fra Grunnes
Gundeles S:;Gundeles sønn
Gundeles søn;Gundeles sønn
gundels søn;Gundeles sønn
Gundels Søn;Gundeles sønn
Gundelsøn;Gundeles sønn
Gundles søn;Gundeles sønn
Gundlessøn;Gundeles sønn
Gunniles søn;Gundeles sønn
Handelssvein f/ Hans Dreyer;Hans Dreyers Handelsvenn
handlende;Handlende 
Henriksen;Henriksen
Hopland;Hopland
Hr;Herr
Hr Nitter;Herr Nitter
hr. Vigandus;Herr Vigandus
i Adwehr;I Ávjovárri
i Alten;I Alta_Tingsted
i Aritsbye;I Ohcejohka
i Forsøl;I Forsøl
i Nordland;I Nordland
Indiager;Fra Eanodat
Jacob Søfrensen enche;Jakob Sørensens Enke
jamt;Jemt 
Jndiager;Fra Eanodat
Jølster;Jølstring
Jølstring;Jølstring
Jtem fader Peder Joesensen;Og faren Peder Jonsen
Jude;Jyde
Jyde;Jyde
Jyede;Jyde
Kauteken;Fra Guovdageaidnu
kautiken;Fra Guovdageaidnu
Kautken;Fra Guovdageaidnu
Kiestt;Kiest
Kiøbmand;Kjøpmann
kiøbmand;Kjøpmann
Klingenberg;Klingenberg
Klocher;Klokker
Klocheren;Klokker
Klocker;Klokker
Kloker;Klokker
Klokker;Klokker
Klub;Fra Klubbu_Ráhkkerávju
Kluben;Fra Klubbu_Ráhkkerávju
Knag;Knag
Komag;Fra Komagvær
Korsfiord;Fra Girenjárga
Korsfjord;Fra Girenjárga
Korsnes;Fra Girenjárga
Køutche;Fra Guovdageaidnu
Koutchen;Fra Guovdageaidnu
Koutken;Fra Guovdageaidnu
Ku;Ku
Kue;Ku
Kupper;Kypper
Kypper;Kypper
Laas;Los
Lalle;Lalle
Langenes;Langnes
Langnes;Langnes
Latøen;Fra Lille_Latøya
Lehensmand;Lensmann
Lehnsmand;Lensmann
Lille;Lille
lille;Lille
Lillienschiold;Lillienskjold
Lillienskiold;Lillienskjold
Lochert;Lockert
Lockert;Lockert
Loos;Los
Los;Los
Loss;Los
Luden;Luden
Madkurff;Fra Makkaur
Molde;Fra Molde
Morup;Morup
Morux;Morup
Nagel;Nagel
Nath;Nats sønn
Natler Kjøpsvend f/ Hans Dreyer;Natler
Nats:;Nats sønn
Natsen;Nats sønn
Natson;Nats sønn
Natsøn;Nats sønn
Nebel;Nebel
Nike Olsens søn;Nikke Olsens Sønn
Noerdlender;Nordlending
Nordfas;Nordfas
Nordfor;Nordfas
Nordmand;Nordman
Orjoos;Årjos
Østersiden;Fra Porsáŋgguvuotna
P: N: S:;P. N. Sønn
P: Nixens S:;Peder Nikkesens Sønn
Paasche;Påske
Paaske;Påske
Panch;Pank
Paus;Paus
Pauss;Paus
ped mog: søn;Peder Mogensens Sønn
ped: Nickes søn;Peder Nikkesens Sønn
Pedr Nielsens søn;Peder Nilsens Sønn
Peisen;Fra Peisen
petr J: Søn;Peder J. Sønn
postfind;Postfinn
Postfinn;Postfinn
præsten;Prest
prest;Prest
Prest;Prest
Prestens lille søn;Prestens Lille sønn
Prousten;Prest
prousten;Prest
Puls;Puls
Quen;Kven
qvæn;Kven
Qven;Kven
qven;Kven
Qvend;Kven
Ragervig;Fra Store_Fagervika
Rangsund;Fra Rognsund
Reen vogter;Reingjeter
Reenvogting;Reingjeter
Rell;Rell
Rognsund;Fra Rognsund
Rongsund;Fra Rognsund
Rue;Rue
Rul;Rull
Rull;Rull
Sahl;Sahlhuus
Salhuus;Sahlhuus
Sandschier;Fra Sandskjær
Sandskiær;Fra Sandskjær
Sandskier;Fra Sandskjær
Sandsskier;Fra Sandskjær
Sanschier;Fra Sandskjær
Sars;Sars
Schlyter;Sklyter
Sidker;Snekker
Skalnes;Fra Skallnes
Skreder;Skredder
Skyddtzskafer;Skyssskaffer
Skydtzskafer;Skyssskaffer
Skydzskafer;Skyssskaffer
skytzskafer;Skyssskaffer
Skytzskafer;Skyssskaffer
Smed;Smed
smed;Smed
Smel;Smell
Smell;Smell
Smidt;Schmitt
Smith;Schmitt
Snecker;Snekker
Snedker;Snekker
Snidker;Snekker
Soes;Sies
Sognepresten;Sognepresten
Som forleden aar war cachstarus;Forrige Skysskaffer
som forleden aar war chachstarus i Eggeskal;Forrige Skysskaffer
Sordfor;Sordfor
St;Store
st:;Store
St:;Store
Stalnes;Fra Davvesiida
stlx Jens Brokmands;sltx Jens Brokmands
Store;Store
stub;Stub
Suebye;Fra Sveby
Suedbye;Fra Sveby
Suendbye;Fra Sveby
Suenske;Svenske
Svenske;Svenske
Svindt;Schmitt
Tan;Fra Juovlavuotna
Tanen;Fra Juovlavuotna
tannen;Fra Juovlavuotna
Tannen;Fra Juovlavuotna
Thorio;Torios sønn
Torio;Torios sønn
Toriosøn;Torios sønn
Torrio;Torios sønn
