Census_type,Year,Geographic_area,Detail_level,State,Creator,Year_rough,Useful_info,Reference,Pagenumber,Digitized_link,Transcribed,Tabulated,Transcription_link,Table_link,Archival_portal_link
Jordebok,1370,Troms,Eiendommer,Norge,,,,,,,Nei,Nei,https://www.dokpro.uio.no/cgi-bin/middelalder/diplom_vise_tekst.cgi?b=6025&s=n,x,x
Jordebok,1433,Aslak bolts Jordebok,Eiendommer,,Aslak Bolt,1430-40,,AV/RA-EA-5965/F13/F13b/L0013,10-370,https://media.digitalarkivet.no/view/102948/10,Ja,Nei,https://urn.nb.no/URN:NBN:no-nb_digibok_2009030304091,x,x
Jordebok,,Trondenes jordebok,Eiendommer,,[ukjent],1300-1400,Fire diplomer,,,,Ja,Nei,https://lenvik-museum.no/meny5/Trondenes/Didrik_Arup_Seip_Trondenes_Jordebok.pdf,x,x
Skattemanntall,1519,Troms,Fogderi,Norge,,,Uklart hvem som er oppført her,Skrifter utgitt for Kjeldeskriftfondet. @<17@> 1 : Norske Regnskaber og Jordebøger fra det 16de Aarhundrede (1514-1521) (s.374),164-167,x,Ja,Nei,https://urn.nb.no/URN:NBN:no-nb_digibok_2012121024002,x,x
Skattemanntall,1519,Ingen (Nordland) og Tuvanes (Finnmark),Bygder,Norge,,,Uklart hvem som er oppført her,Skrifter utgitt for Kjeldeskriftfondet. 17 2 : Norske Regnskaber og Jordebøger fra det 16de Aarhundrede (1516-1521) s.534-5,129-131,x,Ja,Nei,https://urn.nb.no/URN:NBN:no-nb_digibok_2012121024004,x,x
Skattemanntall,1520,Finnmark,Bygder,Norge,,,Ser ut til å være fiskevær,Skrifter utgitt for Kjeldeskriftfondet. 17 2 : Norske Regnskaber og Jordebøger fra det 16de Aarhundrede (1516-1521) s. 238,429-460,https://media.digitalarkivet.no/view/76233/211,Ja,Nei,https://urn.nb.no/URN:NBN:no-nb_digibok_2012121024004,x,x
Skattemanntall,1521,Troms,Fogderi,Norge,,,Uklart når denne slutter,Skrifter utgitt for Kjeldeskriftfondet. 17 2 : Norske Regnskaber og Jordebøger fra det 16de Aarhundrede (1516-1521) s.644,174-?,x,Ja,Nei,https://urn.nb.no/URN:NBN:no-nb_digibok_2012121024004,x,x
Skattemanntall,1554,Lule lappmark,Finnebyer,Sverige,Hans Nilson,,Fjellsamer,SE/RA/5121/5121.18/1554: 9,6-,https://sok.riksarkivet.se/bildvisning/A0044556_00006#?c=&m=&s=&cv=5&xywh=3535%2C210%2C2435%2C2978,Nei,Nei,x,x,x
Skattemanntall,1554,"Kemi Lappmark, Torne Lappmark",Finnebyer,Sverige,Olof Hendrikson,,Fjellsamer,SE/RA/5121/5121.18/1554: 9,24,https://sok.riksarkivet.se/bildvisning/A0044556_00024#?c=&m=&s=&cv=23&xywh=-921%2C578%2C7241%2C4270,Nei,Nei,x,x,x
Skattemanntall,1555,Umeå og Angermanland Lappmark,Finnebyer,Sverige,Jacop Anderson,,Fjellsamer,SE/RA/5121/5121.18/1555: 4,5,https://sok.riksarkivet.se/bildvisning/A0044557_00005#?c=&m=&s=&cv=4&xywh=140%2C360%2C3507%2C4289,Nei,Nei,x,x,x
Skattemanntall,1555,Lule Lappmark,Finnebyer,Sverige,Jacop Hanson,,Fjellsamer,SE/RA/5121/5121.18/1555: 4,24,https://sok.riksarkivet.se/bildvisning/A0044557_00024#?c=&m=&s=&cv=23&xywh=2429%2C228%2C2909%2C3558,Nei,Nei,x,x,x
Skattemanntall,1555,"Finnmark, Troms",Finnebyer,Sverige,Oluff Nilson,,"Sjøsamer, fortsetter in i torne lappmark? ",SE/RA/5121/5121.18/1555: 4,33-44,https://sok.riksarkivet.se/bildvisning/A0044557_00033,Nei,Nei,x,x,x
Skattemanntall,1555,Pite Lappmark,Finnebyer,Sverige,Nils Jonson,,Fjellsamer,SE/RA/5121/5121.18/1555: 4,68,https://sok.riksarkivet.se/bildvisning/A0044557_00068#?c=&m=&s=&cv=67&xywh=-848%2C566%2C7434%2C4383,Nei,Nei,x,x,x
Skattemanntall,1556,Kemi Lappmark,Finnebyer,Sverige,Oluff Anundson,,Fjellsamer,Asiakirjat. 4973 Kemin Lapin tilikirja  (1556-1557). Tiedosto 12. Kansallisarkisto.,12,https://astia.narc.fi/uusiastia/viewer/?fileId=8947902785&aineistoId=1576661735,Nei,Nei,x,x,x
Skattemanntall,1556,Umeå og Angermanland Lappmark,Finnebyer,Sverige,Jacop Anderson,,Fjellsamer,SE/RA/5121/5121.18/1556: 1,13,https://sok.riksarkivet.se/bildvisning/A0044558_00013#?c=&m=&s=&cv=12&xywh=-899%2C290%2C8074%2C4761,Nei,Nei,x,x,x
