Record_type,Date,Year,Court_place,Court_type,Place,Folio,State,Creator,Useful_info,Reference,Transcribed,Tabulated,Digitized_link,Transcription_link,Table_link,Archival_portal_link
Ting,1620/05/03,1620,Vardø,Lagting,,2a,Danmark,Niels Jensen,,SATØ/S-0053/F/Fa/L0006,Ja,Nei,https://www.digitalarkivet.no/rg20090515640568,http://urn.nb.no/URN:NBN:no-nb_digibok_2014011606031,x,x
Ting,1620/05/11,1620,Madkurffue,Lagting,,8b,Danmark,Niels Jensen,,SATØ/S-0053/F/Fa/L0006,Ja,Nei,x,http://urn.nb.no/URN:NBN:no-nb_digibok_2014011606031,x,x
Ting,1620/05/13,1620,Omgang,Lagting,,10b,Danmark,Niels Jensen,,SATØ/S-0053/F/Fa/L0006,Ja,Nei,x,http://urn.nb.no/URN:NBN:no-nb_digibok_2014011606031,x,x
Ting,1620/05/17,1620,Skøtningbergh,Lagting,,13b,Danmark,Niels Jensen,,SATØ/S-0053/F/Fa/L0006,Ja,Nei,x,http://urn.nb.no/URN:NBN:no-nb_digibok_2014011606031,x,x
Ting,1620/05/19,1620,Suerholt,Lagting,,15a,Danmark,Niels Jensen,,SATØ/S-0053/F/Fa/L0006,Ja,Nei,x,http://urn.nb.no/URN:NBN:no-nb_digibok_2014011606031,x,x
Ting,1620/05/26,1620,Hielmsøe,Lagting,,19b,Danmark,Niels Jensen,,SATØ/S-0053/F/Fa/L0006,Ja,Nei,x,http://urn.nb.no/URN:NBN:no-nb_digibok_2014011606031,x,x
Ting,1620/05/29,1620,Meefiørdt,Lagting,,21a,Danmark,Niels Jensen,,SATØ/S-0053/F/Fa/L0006,Ja,Nei,x,http://urn.nb.no/URN:NBN:no-nb_digibok_2014011606031,x,x
Ting,1620/06/02,1620,Hasuogh,Lagting,,22b,Danmark,Niels Jensen,,SATØ/S-0053/F/Fa/L0006,Ja,Nei,x,http://urn.nb.no/URN:NBN:no-nb_digibok_2014011606031,x,x
Ting,1620/06/06,1620,Loppen,Lagting,,24a,Danmark,Niels Jensen,,SATØ/S-0053/F/Fa/L0006,Ja,Nei,x,http://urn.nb.no/URN:NBN:no-nb_digibok_2014011606031,x,x
Ting,1621/04/17,1621,Wadtzøen,Vårting,,25b,Danmark,Niels Jensen,,SATØ/S-0053/F/Fa/L0006,Ja,Nei,x,http://urn.nb.no/URN:NBN:no-nb_digibok_2014011606031,x,x
Ting,1621/04/21,1621,Wardøe,Vårting,,26a,Danmark,Niels Jensen,,SATØ/S-0053/F/Fa/L0006,Ja,Nei,x,http://urn.nb.no/URN:NBN:no-nb_digibok_2014011606031,x,x
Ting,1621/05/11,1621,Omgang,Vårting,,29b,Danmark,Niels Jensen,,SATØ/S-0053/F/Fa/L0006,Ja,Nei,x,http://urn.nb.no/URN:NBN:no-nb_digibok_2014011606031,x,x
Ting,1621/05/18,1621,Skøtningb.,Vårting,,30b,Danmark,Niels Jensen,,SATØ/S-0053/F/Fa/L0006,Ja,Nei,x,http://urn.nb.no/URN:NBN:no-nb_digibok_2014011606031,x,x
Ting,1621/05/24,1621,Suerholt,Vårting,,31a,Danmark,Niels Jensen,,SATØ/S-0053/F/Fa/L0006,Ja,Nei,x,http://urn.nb.no/URN:NBN:no-nb_digibok_2014011606031,x,x
