Record_type,Start_year,End_year,Date,Place_sign,Accounts_type,Area_content,State,Creator,Title,Useful_info,Reference,Page_start,Page_end,Digitized,Transcribed,Tabulated,Digitized_link,Transcription_link,Table_link,Archival_portal_link
Regnskap,1532,1538,,,,,,Olav Engelbrektsson,Olav Engelbrektssons regnskaper,Stykke/ mappe,AV/RA-EA-5965/F13/F13b/L0015,,,Ja,,Nei,https://media.digitalarkivet.no/view/102945/1,x,x,x
Regnskap,1566,1567,,Bergen,Lensregnskap,"Nordland, Troms, Finnmark",Danmark,,,Stykke/ mappe,PUBL/PUBL-001/C/0005,,,Ja,Ja,Nei,https://media.digitalarkivet.no/view/73382/147,https://media.digitalarkivet.no/view/73382/147,x,x
Regnskap m. vedlegg,1593,1602,,,Lensregnskap,Finnmark,Danmark,Jørgen Kaasis,Vardøhus len nr. 1,Stykke/ mappe,AV/RA-EA-5023/R/Rb/Rbæ/L0001,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77146/1,x,x,x
Regnskap m. vedlegg,1593,1594,,,Lensregnskap,Finnmark,Danmark,Jørgen Kaasis,Vardøhus len nr. 1,Lensregnskap mikkelsmesse 1593 - mikkelsmesse 1594,AV/RA-EA-5023/R/Rb/Rbæ/L0001,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77146/5,x,x,x
Regnskap m. vedlegg,1595,1596,,,Lensregnskap,Finnmark,Danmark,Jørgen Kaasis,Vardøhus len nr. 1,Lensregnskap mikkelsmesse 1595 - mikkelsmesse 1596,AV/RA-EA-5023/R/Rb/Rbæ/L0001,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77146/101,x,x,x
Regnskap m. vedlegg,1596,1596,,,Lensregnskap,Finnmark,Danmark,Jørgen Kaasis,Vardøhus len nr. 1,Lensregnskap mikkelsmesse 1596 - 1/5 1597,AV/RA-EA-5023/R/Rb/Rbæ/L0001,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77146/190,x,x,x
Regnskapsvedlegg,1597,1597,,,Skatt,Finnmark,Danmark,Jørgen Kaasis,Vardøhus len nr. 1,Landskatt,AV/RA-EA-5023/R/Rb/Rbæ/L0001,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77146/263,x,x,x
Regnskap m. vedlegg,1596,1597,,,oppgave,Finnmark,Danmark,Jørgen Kaasis,Vardøhus len nr. 1,En oppgave som viser forskjellen mellom landskattene 1596 og 1597,AV/RA-EA-5023/R/Rb/Rbæ/L0001,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77146/288,x,x,x
Regnskap m. vedlegg,1601,1602,,,Lensregnskap,Finnmark,Danmark,Jørgen Kaasis,Vardøhus len nr. 1,Lensregnskap,AV/RA-EA-5023/R/Rb/Rbæ/L0001,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77146/299,x,x,x
Regnskap m. vedlegg,1601,1602,,,Ekstraktregnskap,Finnmark,Danmark,Jørgen Kaasis,Vardøhus len nr. 1,Ekstrakt av lensregnskapet,AV/RA-EA-5023/R/Rb/Rbæ/L0001,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77146/350,x,x,x
Regnskapsvedlegg,1601,1602,,,Skatt,"Finnmark, Troms",Danmark,Jørgen Kaasis,Vardøhus len nr. 1,Finneskatt av Troms len og Vardøhus len,AV/RA-EA-5023/R/Rb/Rbæ/L0001,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77146/374,x,x,x
Regnskap m. vedlegg,1605,1613,,,Lensregnskap,Finnmark,Danmark,Oluff Pederson,Vardøhus len nr. 2,Stykke/ mappe,AV/RA-EA-5023/R/Rb/Rbæ/L0002,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77147/1,x,x,x
Regnskap m. vedlegg,1605,1606,,,,Finnmark,Danmark,Oluff Pederson,Vardøhus len nr. 2,Lensregnskap,AV/RA-EA-5023/R/Rb/Rbæ/L0002,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77147/1,x,x,x
Regnskapsvedlegg,1606,1606,,,,Finnmark,Danmark,Oluff Pederson,Vardøhus len nr. 2,Landskatt (Grønlandsskatt) Martini,AV/RA-EA-5023/R/Rb/Rbæ/L0002,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77147/47,x,x,x
Regnskap m. vedlegg,1607,1608,,,,Finnmark,Danmark,Oluff Pederson,Vardøhus len nr. 2,Lensregnskap,AV/RA-EA-5023/R/Rb/Rbæ/L0002,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77147/70,x,x,x
Regnskap,1607,1608,,,,Finnmark,Danmark,Oluff Pederson,Vardøhus len nr. 2,Ekstrakt av lensregnskap,AV/RA-EA-5023/R/Rb/Rbæ/L0002,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77147/110,x,x,x
Regnskap m. vedlegg,1609,1610,,,,Finnmark,Danmark,Oluff Pederson,Vardøhus len nr. 2,Lensregnskap,AV/RA-EA-5023/R/Rb/Rbæ/L0002,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77147/123,x,x,x
Regnskap m. vedlegg,1610,1611,,,,Finnmark,Danmark,Oluff Pederson,Vardøhus len nr. 2,Lensregnskap,AV/RA-EA-5023/R/Rb/Rbæ/L0002,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77147/144,x,x,x
Regnskapsvedlegg,1610,1610,,,,Finnmark,Danmark,Oluff Pederson,Vardøhus len nr. 2,Landskatt Martini,AV/RA-EA-5023/R/Rb/Rbæ/L0002,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77147/170,x,x,x
